path,text_video,text_image,num_frames,object,velcoities,background,split_name,id,image_path,image_selecting,usage
/fsx_ori/yban/dataset/multiple_64f/videos/video_02776.mp4,mocha plant container is dropping in the small studio room,mocha plant container in the small studio room,64,mocha plant container,"[[0.18035662174224854, -0.06136053428053856, 0.0]]",small studio room,static,02776,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00022.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00014.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00038.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00006.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00029.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00030.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00003.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02776/rgba_00034.png']","[22, 14, 38, 6, 29, 30, 3, 34]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_07896.mp4,a blue bath towel is dropping in the riverside in shanghai,a blue bath towel in the riverside in shanghai,64,a blue bath towel,"[[2.138767719268799, -2.8244783878326416, 0.0]]",riverside in shanghai,both,07896,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00026.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00015.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00023.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00062.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00056.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00013.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00058.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/07896/rgba_00019.png']","[26, 15, 23, 62, 56, 13, 58, 19]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_01901.mp4,"bottle of bronzer is dropping in the quiet, private beach","bottle of bronzer in the quiet, private beach",64,bottle of bronzer,"[[1.9931195974349976, -3.0788795948028564, 0.0]]","quiet, private beach",dynamic,01901,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00045.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00043.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00057.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00041.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00019.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00021.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00049.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01901/rgba_00023.png']","[45, 43, 57, 41, 19, 21, 49, 23]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_03950.mp4,can opener tool is dropping in the blaubeuren at night,can opener tool in the blaubeuren at night,64,can opener tool,"[[1.877659559249878, 5.286510467529297, 0.0]]",blaubeuren at night,dynamic,03950,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00015.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00029.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00008.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00016.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00060.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00037.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00042.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03950/rgba_00001.png']","[15, 29, 8, 16, 60, 37, 42, 1]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_00727.mp4,black ink cartridge is dropping in the the epping forest scene,black ink cartridge in the the epping forest scene,64,black ink cartridge,"[[-3.374243974685669, -7.192670822143555, 0.0]]",the epping forest scene,dynamic,00727,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00024.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00047.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00049.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00059.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00036.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00003.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00055.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/00727/rgba_00007.png']","[24, 47, 49, 59, 36, 3, 55, 7]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_01865.mp4,blue school backpack is dropping in the abandoned game room,blue school backpack in the abandoned game room,64,blue school backpack,"[[-2.0186989307403564, -3.7957470417022705, 0.0]]",abandoned game room,both,01865,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00011.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00063.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00024.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00005.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00053.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00036.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00047.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/01865/rgba_00042.png']","[11, 63, 24, 5, 53, 36, 47, 42]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_04785.mp4,a black hammer is dropping in the roof of teufelsberg,a black hammer in the roof of teufelsberg,64,a black hammer,"[[6.261347770690918, -3.4558894634246826, 0.0]]",roof of teufelsberg,dynamic,04785,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00000.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00023.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00039.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00040.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00015.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00059.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00056.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/04785/rgba_00047.png']","[0, 23, 39, 40, 15, 59, 56, 47]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_03448.mp4,pack of coffee capsules is dropping in the slope in the forest,pack of coffee capsules in the slope in the forest,64,pack of coffee capsules,"[[-0.8151580095291138, 3.3854591846466064, 0.0]]",slope in the forest,both,03448,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00061.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00043.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00047.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00023.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00045.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00021.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00022.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/03448/rgba_00034.png']","[61, 43, 47, 23, 45, 21, 22, 34]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_19096.mp4,black wireless speaker is dropping in the dawn at bell park,black wireless speaker in the dawn at bell park,64,black wireless speaker,"[[1.3357040882110596, 5.520110607147217, 0.0]]",dawn at bell park,static,19096,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00017.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00012.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00037.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00011.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00043.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00029.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00052.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/19096/rgba_00007.png']","[17, 12, 37, 11, 43, 29, 52, 7]",tbc
/fsx_ori/yban/dataset/multiple_64f/videos/video_02612.mp4,black ink cartridge is dropping in the mutianyu great wall,black ink cartridge in the mutianyu great wall,64,black ink cartridge,"[[-2.715174913406372, 2.290112257003784, 0.0]]",mutianyu great wall,dynamic,02612,"['/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00037.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00048.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00051.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00010.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00040.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00003.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00043.png', '/fsx_ori/yban/dataset/multiple_64f/rawdata/02612/rgba_00036.png']","[37, 48, 51, 10, 40, 3, 43, 36]",tbc
