path,text_video,text_image,num_frames,object,velcoities,background,split_name,id,image_path,image_selecting,usage
/nfs/yban/dataset/multiple/videos/video_06603.mp4,aggravation board game is dropping in the dresden's georgentor gate,aggravation board game in the dresden's georgentor gate,24,aggravation board game,"[[1.5733349323272705, 6.685908794403076, 0.0]]",dresden's georgentor gate,static,06603,/nfs/yban/dataset/multiple/rawdata/06603/rgba_00006.png,6,tbc
/nfs/yban/dataset/multiple/videos/video_05874.mp4,aggravation board game is dropping in the square in palermo city,aggravation board game in the square in palermo city,24,aggravation board game,"[[3.972404718399048, 2.5047659873962402, 0.0]]",square in palermo city,static,05874,/nfs/yban/dataset/multiple/rawdata/05874/rgba_00014.png,14,tbc
/nfs/yban/dataset/multiple/videos/video_00794.mp4,yellow/blue bowl is dropping in the wide city street,yellow/blue bowl in the wide city street,24,yellow/blue bowl,"[[5.52408504486084, 1.9471793174743652, 0.0]]",wide city street,dynamic,00794,/nfs/yban/dataset/multiple/rawdata/00794/rgba_00000.png,0,tbc
/nfs/yban/dataset/multiple/videos/video_07459.mp4,round cake pan is dropping in the small recording studio,round cake pan in the small recording studio,24,round cake pan,"[[3.025057077407837, 2.093792676925659, 0.0]]",small recording studio,both,07459,/nfs/yban/dataset/multiple/rawdata/07459/rgba_00012.png,12,tbc
/nfs/yban/dataset/multiple/videos/video_05408.mp4,sturdy torchlight is dropping in the city street view,sturdy torchlight in the city street view,24,sturdy torchlight,"[[3.7329959869384766, 1.872003197669983, 0.0]]",city street view,dynamic,05408,/nfs/yban/dataset/multiple/rawdata/05408/rgba_00000.png,0,tbc
/nfs/yban/dataset/multiple/videos/video_19141.mp4,red handheld scissors is dropping in the abandoned game room,red handheld scissors in the abandoned game room,24,red handheld scissors,"[[-0.419538289308548, -3.4273407459259033, 0.0]]",abandoned game room,both,19141,/nfs/yban/dataset/multiple/rawdata/19141/rgba_00006.png,6,tbc
/nfs/yban/dataset/multiple/videos/video_07825.mp4,toy airplane with pilot is dropping in the tranquil hilltop,toy airplane with pilot in the tranquil hilltop,24,toy airplane with pilot,"[[0.17784471809864044, 1.7084726095199585, 0.0]]",tranquil hilltop,both,07825,/nfs/yban/dataset/multiple/rawdata/07825/rgba_00008.png,8,tbc
/nfs/yban/dataset/multiple/videos/video_04652.mp4,red handheld scissors is dropping in the rathaus town hall,red handheld scissors in the rathaus town hall,24,red handheld scissors,"[[2.1646642684936523, -3.1358602046966553, 0.0]]",rathaus town hall,both,04652,/nfs/yban/dataset/multiple/rawdata/04652/rgba_00013.png,13,tbc
/nfs/yban/dataset/multiple/videos/video_05910.mp4,black ink cartridge is dropping in the hamburg central station,black ink cartridge in the hamburg central station,24,black ink cartridge,"[[-0.4097137451171875, -0.4556189179420471, 0.0]]",hamburg central station,dynamic,05910,/nfs/yban/dataset/multiple/rawdata/05910/rgba_00008.png,8,tbc
/nfs/yban/dataset/multiple/videos/video_06767.mp4,pack of coffee capsules is dropping in the ostrich on the road,pack of coffee capsules in the ostrich on the road,24,pack of coffee capsules,"[[-0.39618027210235596, -1.1543195247650146, 0.0]]",ostrich on the road,both,06767,/nfs/yban/dataset/multiple/rawdata/06767/rgba_00000.png,0,tbc
/nfs/yban/dataset/multiple/videos/video_03887.mp4,lightweight running shoe is dropping in the gray-themed room,lightweight running shoe in the gray-themed room,24,lightweight running shoe,"[[-0.4207819700241089, -2.129251480102539, 0.0]]",gray-themed room,both,03887,/nfs/yban/dataset/multiple/rawdata/03887/rgba_00010.png,10,tbc
/nfs/yban/dataset/multiple/videos/video_04736.mp4,pack of coffee capsules is dropping in the ground in autumn,pack of coffee capsules in the ground in autumn,24,pack of coffee capsules,"[[-0.2735195755958557, 5.453493595123291, 0.0]]",ground in autumn,both,04736,/nfs/yban/dataset/multiple/rawdata/04736/rgba_00003.png,3,tbc
/nfs/yban/dataset/multiple/videos/video_19025.mp4,wooden abc blocks with wagon is dropping in the ulm minster cathedral,wooden abc blocks with wagon in the ulm minster cathedral,24,wooden abc blocks with wagon,"[[-0.8537582159042358, 2.375023126602173, 0.0]]",ulm minster cathedral,dynamic,19025,/nfs/yban/dataset/multiple/rawdata/19025/rgba_00006.png,6,tbc
/nfs/yban/dataset/multiple/videos/video_07941.mp4,elephant stuffed toy is dropping in the a veranda view,elephant stuffed toy in the a veranda view,24,elephant stuffed toy,"[[-2.342787504196167, -0.29727599024772644, 0.0]]",a veranda view,static,07941,/nfs/yban/dataset/multiple/rawdata/07941/rgba_00010.png,10,tbc
/nfs/yban/dataset/multiple/videos/video_03757.mp4,round cake pan is dropping in the dawn in venice,round cake pan in the dawn in venice,24,round cake pan,"[[-0.19152770936489105, 2.1846930980682373, 0.0]]",dawn in venice,both,03757,/nfs/yban/dataset/multiple/rawdata/03757/rgba_00004.png,4,tbc
/nfs/yban/dataset/multiple/videos/video_00920.mp4,round cake pan is dropping in the abandoned game room,round cake pan in the abandoned game room,24,round cake pan,"[[1.7985131740570068, 3.729482650756836, 0.0]]",abandoned game room,both,00920,/nfs/yban/dataset/multiple/rawdata/00920/rgba_00001.png,1,tbc
/nfs/yban/dataset/multiple/videos/video_19389.mp4,decaf instant coffee jar is dropping in the small recording studio,decaf instant coffee jar in the small recording studio,24,decaf instant coffee jar,"[[-0.9733059406280518, 4.079010963439941, 0.0]]",small recording studio,both,19389,/nfs/yban/dataset/multiple/rawdata/19389/rgba_00013.png,13,tbc
/nfs/yban/dataset/multiple/videos/video_07691.mp4,a blue bath towel is dropping in the cliff along the shoreline,a blue bath towel in the cliff along the shoreline,24,a blue bath towel,"[[0.39796435832977295, -1.2946120500564575, 0.0]]",cliff along the shoreline,both,07691,/nfs/yban/dataset/multiple/rawdata/07691/rgba_00002.png,2,tbc
/nfs/yban/dataset/multiple/videos/video_02971.mp4,lightweight running shoe is dropping in the gray-themed room,lightweight running shoe in the gray-themed room,24,lightweight running shoe,"[[-1.2233117818832397, -0.7569956183433533, 0.0]]",gray-themed room,both,02971,/nfs/yban/dataset/multiple/rawdata/02971/rgba_00003.png,3,tbc
