path,text_video,text_image,num_frames,object,background,direction,split_set,id,image_path,image_selecting,usage,usage_bal
/nfs/yban/dataset/multi/videos/video_06331.mp4,sturdy torchlight is moving to the left in the gothic manor mansion,sturdy torchlight is in the gothic manor mansion,24,sturdy torchlight,gothic manor mansion,left,right_videos,06331,/nfs/yban/dataset/multi/rawdata/06331/rgba_00016.png,16,tbc,tbc
/nfs/yban/dataset/multi/videos/video_04360.mp4,elephant stuffed toy is moving to the left in the klinge's castle,elephant stuffed toy is in the klinge's castle,24,elephant stuffed toy,klinge's castle,left,left_videos,04360,/nfs/yban/dataset/multi/rawdata/04360/rgba_00014.png,14,tbc,tbc
/nfs/yban/dataset/multi/videos/video_06255.mp4,round cake pan is moving to the right in the cliff along the shoreline,round cake pan is in the cliff along the shoreline,24,round cake pan,cliff along the shoreline,right,none,06255,/nfs/yban/dataset/multi/rawdata/06255/rgba_00008.png,8,tbc,tbc
/nfs/yban/dataset/multi/videos/video_01198.mp4,mocha plant container is moving to the left in the grass at noon,mocha plant container is in the grass at noon,24,mocha plant container,grass at noon,left,images_right_videos,01198,/nfs/yban/dataset/multi/rawdata/01198/rgba_00015.png,15,tbc,tbc
/nfs/yban/dataset/multi/videos/video_02393.mp4,pack of coffee capsules is moving to the left in the bridge over cedar creek,pack of coffee capsules is in the bridge over cedar creek,24,pack of coffee capsules,bridge over cedar creek,left,right_videos_left_videos,02393,/nfs/yban/dataset/multi/rawdata/02393/rgba_00013.png,13,tbc,tbc
/nfs/yban/dataset/multi/videos/video_04204.mp4,yellow school bus is moving to the left in the meadow in autumn,yellow school bus is in the meadow in autumn,24,yellow school bus,meadow in autumn,left,right_videos,04204,/nfs/yban/dataset/multi/rawdata/04204/rgba_00016.png,16,tbc,tbc
/nfs/yban/dataset/multi/videos/video_03265.mp4,can opener tool is moving to the left in the klinge's castle,can opener tool is in the klinge's castle,24,can opener tool,klinge's castle,left,images_right_videos,03265,/nfs/yban/dataset/multi/rawdata/03265/rgba_00012.png,12,tbc,tbc
/nfs/yban/dataset/multi/videos/video_01234.mp4,black ink cartridge is moving to the left in the sunset over venice,black ink cartridge is in the sunset over venice,24,black ink cartridge,sunset over venice,left,images,01234,/nfs/yban/dataset/multi/rawdata/01234/rgba_00010.png,10,tbc,tbc
/nfs/yban/dataset/multi/videos/video_03301.mp4,decaf instant coffee jar is moving to the right in the entrance to the subway,decaf instant coffee jar is in the entrance to the subway,24,decaf instant coffee jar,entrance to the subway,right,images,03301,/nfs/yban/dataset/multi/rawdata/03301/rgba_00010.png,10,tbc,tbc
/nfs/yban/dataset/multi/videos/video_05296.mp4,pack of coffee capsules is moving to the left in the cozy cafe scene,pack of coffee capsules is in the cozy cafe scene,24,pack of coffee capsules,cozy cafe scene,left,right_videos_left_videos,05296,/nfs/yban/dataset/multi/rawdata/05296/rgba_00008.png,8,tbc,tbc
/nfs/yban/dataset/multi/videos/video_01350.mp4,"a can of coffee is moving to the right in the tranquil hilltop.","a can of coffee is in the tranquil hilltop.",24,a can of coffee,"tranquil hilltop.",right,left_videos,01350,/nfs/yban/dataset/multi/rawdata/01350/rgba_00012.png,12,tbc,tbc
/nfs/yban/dataset/multi/videos/video_09205.mp4,wooden abc blocks with wagon is moving to the left in the lost city ruins,wooden abc blocks with wagon is in the lost city ruins,24,wooden abc blocks with wagon,lost city ruins,left,none,09205,/nfs/yban/dataset/multi/rawdata/09205/rgba_00009.png,9,tbc,tbc
/nfs/yban/dataset/multi/videos/video_09361.mp4,black wireless speaker is moving to the left in the cliff top in white,black wireless speaker is in the cliff top in white,24,black wireless speaker,cliff top in white,left,left_videos,09361,/nfs/yban/dataset/multi/rawdata/09361/rgba_00011.png,11,tbc,tbc
/nfs/yban/dataset/multi/videos/video_02074.mp4,red gaming headset is moving to the right in the twilight-drenched forest,red gaming headset is in the twilight-drenched forest,24,red gaming headset,twilight-drenched forest,right,right_videos_left_videos,02074,/nfs/yban/dataset/multi/rawdata/02074/rgba_00011.png,11,tbc,tbc
/nfs/yban/dataset/multi/videos/video_00025.mp4,can opener tool is moving to the left in the terrace at lythwood,can opener tool is in the terrace at lythwood,24,can opener tool,terrace at lythwood,left,images_right_videos,00025,/nfs/yban/dataset/multi/rawdata/00025/rgba_00008.png,8,tbc,tbc
/nfs/yban/dataset/multi/videos/video_02110.mp4,blue bath sheet is moving to the right in the theater stage setting,blue bath sheet is in the theater stage setting,24,blue bath sheet,theater stage setting,right,right_videos_left_videos,02110,/nfs/yban/dataset/multi/rawdata/02110/rgba_00008.png,8,tbc,tbc
/nfs/yban/dataset/multi/videos/video_04087.mp4,a black hammer is moving to the left in the ground in autumn,a black hammer is in the ground in autumn,24,a black hammer,ground in autumn,left,images_right_videos_left_videos,04087,/nfs/yban/dataset/multi/rawdata/04087/rgba_00009.png,9,tbc,tbc
/nfs/yban/dataset/multi/videos/video_00141.mp4,a black hammer is moving to the left in the ground in autumn,a black hammer is in the ground in autumn,24,a black hammer,ground in autumn,left,images_right_videos_left_videos,00141,/nfs/yban/dataset/multi/rawdata/00141/rgba_00014.png,14,tbc,tbc
/nfs/yban/dataset/multi/videos/video_07120.mp4,blue school backpack is moving to the left in the dresden's georgentor gate,blue school backpack is in the dresden's georgentor gate,24,blue school backpack,dresden's georgentor gate,left,images_left_videos,07120,/nfs/yban/dataset/multi/rawdata/07120/rgba_00009.png,9,tbc,tbc
/nfs/yban/dataset/multi/videos/video_05171.mp4,a can of coffee is moving to the left in the plaza of shadows,a can of coffee is in the plaza of shadows,24,a can of coffee,plaza of shadows,left,left_videos,05171,/nfs/yban/dataset/multi/rawdata/05171/rgba_00013.png,13,tbc,tbc
/nfs/yban/dataset/multi/videos/video_00389.mp4,yellow/blue bowl is moving to the right in the cozy cafe scene,yellow/blue bowl is in the cozy cafe scene,24,yellow/blue bowl,cozy cafe scene,right,right_videos_left_videos,00389,/nfs/yban/dataset/multi/rawdata/00389/rgba_00009.png,9,tbc,tbc
/nfs/yban/dataset/multi/videos/video_07044.mp4,a can of coffee is moving to the left in the cozy cafe scene,a can of coffee is in the cozy cafe scene,24,a can of coffee,cozy cafe scene,left,left_videos,07044,/nfs/yban/dataset/multi/rawdata/07044/rgba_00016.png,16,tbc,tbc
/nfs/yban/dataset/multi/videos/video_03182.mp4,red fabric cube is moving to the right in the klinge's castle,red fabric cube is in the klinge's castle,24,red fabric cube,klinge's castle,right,images,03182,/nfs/yban/dataset/multi/rawdata/03182/rgba_00015.png,15,tbc,tbc
/nfs/yban/dataset/multi/videos/video_05015.mp4,elephant stuffed toy is moving to the right in the ground in autumn,elephant stuffed toy is in the ground in autumn,24,elephant stuffed toy,ground in autumn,right,left_videos,05015,/nfs/yban/dataset/multi/rawdata/05015/rgba_00013.png,13,tbc,tbc
/nfs/yban/dataset/multi/videos/video_08014.mp4,black ink cartridge is moving to the right in the mutianyu great wall,black ink cartridge is in the mutianyu great wall,24,black ink cartridge,mutianyu great wall,right,images,08014,/nfs/yban/dataset/multi/rawdata/08014/rgba_00010.png,10,tbc,tbc
/nfs/yban/dataset/multi/videos/video_08170.mp4,"mocha plant container is moving to the right in the tranquil hilltop.","mocha plant container is in the tranquil hilltop.",24,mocha plant container,"tranquil hilltop.",right,images_right_videos,08170,/nfs/yban/dataset/multi/rawdata/08170/rgba_00010.png,10,tbc,tbc
