path,text_video,text_image,num_frames,object,background,direction,split_set,id,image_path,image_selecting,usage,usage_bal
/nfs/yban/dataset/multi/videos/video_06331.mp4,sturdy torchlight is moving to the left in the gothic manor mansion,sturdy torchlight is in the gothic manor mansion,24,sturdy torchlight,gothic manor mansion,left,right_videos,6331,/nfs/yban/dataset/multi/rawdata/06331/rgba_00016.png,16,tbc,train_image
/nfs/yban/dataset/multi/videos/video_04360.mp4,elephant stuffed toy is moving to the left in the klinge's castle,elephant stuffed toy is in the klinge's castle,24,elephant stuffed toy,klinge's castle,left,left_videos,4360,/nfs/yban/dataset/multi/rawdata/04360/rgba_00014.png,14,val_image,val_image
/nfs/yban/dataset/multi/videos/video_06255.mp4,round cake pan is moving to the right in the cliff along the shoreline,round cake pan is in the cliff along the shoreline,24,round cake pan,cliff along the shoreline,right,none,6255,/nfs/yban/dataset/multi/rawdata/06255/rgba_00008.png,8,val_video,val_video
/nfs/yban/dataset/multi/videos/video_01198.mp4,mocha plant container is moving to the left in the grass at noon,mocha plant container is in the grass at noon,24,mocha plant container,grass at noon,left,images_right_videos,1198,/nfs/yban/dataset/multi/rawdata/01198/rgba_00015.png,15,tbc,tbc
/nfs/yban/dataset/multi/videos/video_02393.mp4,pack of coffee capsules is moving to the left in the bridge over cedar creek,pack of coffee capsules is in the bridge over cedar creek,24,pack of coffee capsules,bridge over cedar creek,left,right_videos_left_videos,2393,/nfs/yban/dataset/multi/rawdata/02393/rgba_00013.png,13,tbc,tbc
/nfs/yban/dataset/multi/videos/video_04204.mp4,yellow school bus is moving to the left in the meadow in autumn,yellow school bus is in the meadow in autumn,24,yellow school bus,meadow in autumn,left,right_videos,4204,/nfs/yban/dataset/multi/rawdata/04204/rgba_00016.png,16,tbc,tbc
/nfs/yban/dataset/multi/videos/video_03265.mp4,can opener tool is moving to the left in the klinge's castle,can opener tool is in the klinge's castle,24,can opener tool,klinge's castle,left,images_right_videos,3265,/nfs/yban/dataset/multi/rawdata/03265/rgba_00012.png,12,tbc,tbc
/nfs/yban/dataset/multi/videos/video_01234.mp4,black ink cartridge is moving to the left in the sunset over venice,black ink cartridge is in the sunset over venice,24,black ink cartridge,sunset over venice,left,images,1234,/nfs/yban/dataset/multi/rawdata/01234/rgba_00010.png,10,train_image,train_image
/nfs/yban/dataset/multi/videos/video_03301.mp4,decaf instant coffee jar is moving to the right in the entrance to the subway,decaf instant coffee jar is in the entrance to the subway,24,decaf instant coffee jar,entrance to the subway,right,images,3301,/nfs/yban/dataset/multi/rawdata/03301/rgba_00010.png,10,tbc,train_image
/nfs/yban/dataset/multi/videos/video_05296.mp4,pack of coffee capsules is moving to the left in the cozy cafe scene,pack of coffee capsules is in the cozy cafe scene,24,pack of coffee capsules,cozy cafe scene,left,right_videos_left_videos,5296,/nfs/yban/dataset/multi/rawdata/05296/rgba_00008.png,8,val_video,val_video
/nfs/yban/dataset/multi/videos/video_01350.mp4,"a can of coffee is moving to the right in the tranquil hilltop.","a can of coffee is in the tranquil hilltop.",24,a can of coffee,"tranquil hilltop.",right,left_videos,1350,/nfs/yban/dataset/multi/rawdata/01350/rgba_00012.png,12,tbc,train_image
/nfs/yban/dataset/multi/videos/video_09205.mp4,wooden abc blocks with wagon is moving to the left in the lost city ruins,wooden abc blocks with wagon is in the lost city ruins,24,wooden abc blocks with wagon,lost city ruins,left,none,9205,/nfs/yban/dataset/multi/rawdata/09205/rgba_00009.png,9,tbc,tbc
