path,text_video,text_image,num_frames,object,velcoities,movement_speed,background,split_name,id,image_path,image_selecting,usage
/nfs/yban/dataset/multi_obj/videos/video_10176.mp4,decaf instant coffee jar and red dish drying mat are dropping in the slope in the forest,decaf instant coffee jar and red dish drying mat in the slope in the forest,24,"['decaf instant coffee jar', 'red dish drying mat']","[[-1.6774629354476929, -0.5926172733306885, 0.0], [-1.3271373510360718, 6.187633037567139, 0.0]]",5.744294111842741,slope in the forest,both,10176,/nfs/yban/dataset/multi_obj/rawdata/10176/rgba_00006.png,6,tbc
/nfs/yban/dataset/multi_obj/videos/video_08985.mp4,a can of coffee and black wireless speaker are dropping in the city street view,a can of coffee and black wireless speaker in the city street view,24,"['a can of coffee', 'black wireless speaker']","[[1.3552234172821045, -0.9848373532295227, 0.0], [1.632742166519165, 3.191460132598877, 0.0]]",5.8853238319977965,city street view,static,08985,/nfs/yban/dataset/multi_obj/rawdata/08985/rgba_00013.png,13,tbc
/nfs/yban/dataset/multi_obj/videos/video_12127.mp4,toy airplane with pilot and brown handmade hat are dropping in the theater stage setting,toy airplane with pilot and brown handmade hat in the theater stage setting,24,"['toy airplane with pilot', 'brown handmade hat']","[[2.2098581790924072, 6.287871837615967, 0.0], [4.636730670928955, -3.037740468978882, 0.0]]",6.874513169559108,theater stage setting,both,12127,/nfs/yban/dataset/multi_obj/rawdata/12127/rgba_00013.png,13,tbc
/nfs/yban/dataset/multi_obj/videos/video_16185.mp4,wooden abc blocks with wagon and black ink cartridge are dropping in the sanctuary in greenery,wooden abc blocks with wagon and black ink cartridge in the sanctuary in greenery,24,"['wooden abc blocks with wagon', 'black ink cartridge']","[[-5.310558319091797, -2.976487159729004, 0.0], [-2.813185930252075, 4.401688098907471, 0.0]]",3.2071527505511073,sanctuary in greenery,dynamic,16185,/nfs/yban/dataset/multi_obj/rawdata/16185/rgba_00014.png,14,tbc
/nfs/yban/dataset/multi_obj/videos/video_11248.mp4,wooden abc blocks with wagon and sturdy torchlight are dropping in the west train tunnel at moulton station,wooden abc blocks with wagon and sturdy torchlight in the west train tunnel at moulton station,24,"['wooden abc blocks with wagon', 'sturdy torchlight']","[[-0.15504595637321472, -0.9444587826728821, 0.0], [-1.8394839763641357, 0.281180739402771, 0.0]]",3.179043567628849,west train tunnel at moulton station,dynamic,11248,/nfs/yban/dataset/multi_obj/rawdata/11248/rgba_00000.png,0,tbc
/nfs/yban/dataset/multi_obj/videos/video_10012.mp4,bottle of bronzer and sturdy torchlight are dropping in the scenery of noga,bottle of bronzer and sturdy torchlight in the scenery of noga,24,"['bottle of bronzer', 'sturdy torchlight']","[[1.3152456283569336, 4.328372001647949, 0.0], [3.42682147026062, 3.774414539337158, 0.0]]",0.003877009280915722,scenery of noga,dynamic,10012,/nfs/yban/dataset/multi_obj/rawdata/10012/rgba_00014.png,14,tbc
/nfs/yban/dataset/multi_obj/videos/video_12043.mp4,blue school backpack and toy airplane with pilot are dropping in the passage made of glass,blue school backpack and toy airplane with pilot in the passage made of glass,24,"['blue school backpack', 'toy airplane with pilot']","[[-2.425384283065796, -3.089813470840454, 0.0], [-1.2189711332321167, -0.857231080532074, 0.0]]",1.485048891602979,passage made of glass,both,12043,/nfs/yban/dataset/multi_obj/rawdata/12043/rgba_00004.png,4,tbc
/nfs/yban/dataset/multi_obj/videos/video_13219.mp4,blue school backpack and brown handmade hat are dropping in the grass at noon,blue school backpack and brown handmade hat in the grass at noon,24,"['blue school backpack', 'brown handmade hat']","[[0.13464076817035675, 2.8317840099334717, 0.0], [-2.3499715328216553, -1.262670874595642, 0.0]]",6.347832964898667,grass at noon,both,13219,/nfs/yban/dataset/multi_obj/rawdata/13219/rgba_00016.png,16,tbc
/nfs/yban/dataset/multi_obj/videos/video_15022.mp4,black ink cartridge and yellow/blue bowl are dropping in the abandoned game room,black ink cartridge and yellow/blue bowl in the abandoned game room,24,"['black ink cartridge', 'yellow/blue bowl']","[[-7.107605457305908, 0.871131181716919, 0.0], [0.488698810338974, -1.7739574909210205, 0.0]]",1.5262470810923014,abandoned game room,dynamic,15022,/nfs/yban/dataset/multi_obj/rawdata/15022/rgba_00004.png,4,tbc
/nfs/yban/dataset/multi_obj/videos/video_08731.mp4,brown handmade hat and red handheld scissors are dropping in the west train tunnel at moulton station,brown handmade hat and red handheld scissors in the west train tunnel at moulton station,24,"['brown handmade hat', 'red handheld scissors']","[[-3.7924792766571045, -4.0912017822265625, 0.0], [-1.6387041807174683, 2.5591256618499756, 0.0]]",4.450771584898245,west train tunnel at moulton station,both,08731,/nfs/yban/dataset/multi_obj/rawdata/08731/rgba_00012.png,12,tbc
/nfs/yban/dataset/multi_obj/videos/video_14278.mp4,toy airplane with pilot and red dish drying mat are dropping in the crossing in autumn,toy airplane with pilot and red dish drying mat in the crossing in autumn,24,"['toy airplane with pilot', 'red dish drying mat']","[[-2.6877288818359375, -0.1313513070344925, 0.0], [-3.8976151943206787, -0.10808198153972626, 0.0]]",5.380459403269134,crossing in autumn,both,14278,/nfs/yban/dataset/multi_obj/rawdata/14278/rgba_00008.png,8,tbc
/nfs/yban/dataset/multi_obj/videos/video_16229.mp4,decaf instant coffee jar and red handheld scissors are dropping in the wide city street,decaf instant coffee jar and red handheld scissors in the wide city street,24,"['decaf instant coffee jar', 'red handheld scissors']","[[5.702752113342285, 5.704507827758789, 0.0], [-0.6010211110115051, -2.414137125015259, 0.0]]",1.308802600954432,wide city street,both,16229,/nfs/yban/dataset/multi_obj/rawdata/16229/rgba_00005.png,5,tbc
/nfs/yban/dataset/multi_obj/videos/video_09917.mp4,decaf instant coffee jar and pack of coffee capsules are dropping in the sanctuary in greenery,decaf instant coffee jar and pack of coffee capsules in the sanctuary in greenery,24,"['decaf instant coffee jar', 'pack of coffee capsules']","[[4.808314323425293, 0.04870714992284775, 0.0], [1.961885690689087, 3.257627487182617, 0.0]]",1.7134638437390137,sanctuary in greenery,both,09917,/nfs/yban/dataset/multi_obj/rawdata/09917/rgba_00001.png,1,tbc
/nfs/yban/dataset/multi_obj/videos/video_17073.mp4,lightweight running shoe and red handheld scissors are dropping in the canteen in abandoned factory,lightweight running shoe and red handheld scissors in the canteen in abandoned factory,24,"['lightweight running shoe', 'red handheld scissors']","[[-2.1032919883728027, -2.574964761734009, 0.0], [1.506553053855896, -2.5803098678588867, 0.0]]",6.7283822976661165,canteen in abandoned factory,both,17073,/nfs/yban/dataset/multi_obj/rawdata/17073/rgba_00002.png,2,tbc
/nfs/yban/dataset/multi_obj/videos/video_08655.mp4,aggravation board game and pair of latex gloves are dropping in the abandoned game room,aggravation board game and pair of latex gloves in the abandoned game room,24,"['aggravation board game', 'pair of latex gloves']","[[-2.1403026580810547, 6.361204624176025, 0.0], [3.361764907836914, 1.2878330945968628, 0.0]]",0.9550492480036521,abandoned game room,static,08655,/nfs/yban/dataset/multi_obj/rawdata/08655/rgba_00012.png,12,tbc
/nfs/yban/dataset/multi_obj/videos/video_15146.mp4,blue bath sheet and paisley patterned pencil case are dropping in the tranquil hilltop,blue bath sheet and paisley patterned pencil case in the tranquil hilltop,24,"['blue bath sheet', 'paisley patterned pencil case']","[[4.175479888916016, 1.868786334991455, 0.0], [-3.326826572418213, 2.0541017055511475, 0.0]]",6.647451690036737,tranquil hilltop,static,15146,/nfs/yban/dataset/multi_obj/rawdata/15146/rgba_00005.png,5,tbc
/nfs/yban/dataset/multi_obj/videos/video_09873.mp4,blue school backpack and decaf instant coffee jar are dropping in the ethnography museum exhibits,blue school backpack and decaf instant coffee jar in the ethnography museum exhibits,24,"['blue school backpack', 'decaf instant coffee jar']","[[-4.364386081695557, 0.1964070051908493, 0.0], [2.073589563369751, 7.639015197753906, 0.0]]",0.37930068007747053,ethnography museum exhibits,both,09873,/nfs/yban/dataset/multi_obj/rawdata/09873/rgba_00015.png,15,tbc
/nfs/yban/dataset/multi_obj/videos/video_17117.mp4,red gaming headset and great white shark are dropping in the crossing in autumn,red gaming headset and great white shark in the crossing in autumn,24,"['red gaming headset', 'great white shark']","[[-4.559020042419434, -1.2282798290252686, 0.0], [0.7518596053123474, -3.563054323196411, 0.0]]",1.360703589675941,crossing in autumn,dynamic,17117,/nfs/yban/dataset/multi_obj/rawdata/17117/rgba_00001.png,1,tbc
/nfs/yban/dataset/multi_obj/videos/video_11080.mp4,blue school backpack and a blue bath towel are dropping in the terrace at lythwood,blue school backpack and a blue bath towel in the terrace at lythwood,24,"['blue school backpack', 'a blue bath towel']","[[-3.813964605331421, -6.589648246765137, 0.0], [3.977712631225586, 2.187335252761841, 0.0]]",0.2582181897554179,terrace at lythwood,both,11080,/nfs/yban/dataset/multi_obj/rawdata/11080/rgba_00015.png,15,tbc
/nfs/yban/dataset/multi_obj/videos/video_06697.mp4,round cake pan and lightweight running shoe are dropping in the twilight-drenched forest,round cake pan and lightweight running shoe in the twilight-drenched forest,24,"['round cake pan', 'lightweight running shoe']","[[3.131165027618408, -1.4427872896194458, 0.0], [-1.9333107471466064, 1.7195004224777222, 0.0]]",5.172632010453597,twilight-drenched forest,both,06697,/nfs/yban/dataset/multi_obj/rawdata/06697/rgba_00013.png,13,tbc
/nfs/yban/dataset/multi_obj/videos/video_03977.mp4,pair of latex gloves and aggravation board game are dropping in the stone pillars,pair of latex gloves and aggravation board game in the stone pillars,24,"['pair of latex gloves', 'aggravation board game']","[[2.274829626083374, -6.235574722290039, 0.0], [-0.6810257434844971, 1.2477012872695923, 0.0]]",4.611384932440825,stone pillars,static,03977,/nfs/yban/dataset/multi_obj/rawdata/03977/rgba_00009.png,9,tbc
/nfs/yban/dataset/multi_obj/videos/video_02751.mp4,bottle of bronzer and black ink cartridge are dropping in the the circus maximus arena,bottle of bronzer and black ink cartridge in the the circus maximus arena,24,"['bottle of bronzer', 'black ink cartridge']","[[-6.013064861297607, -1.2754671573638916, 0.0], [3.96457839012146, -2.000683307647705, 0.0]]",5.646400590039549,the circus maximus arena,dynamic,02751,/nfs/yban/dataset/multi_obj/rawdata/02751/rgba_00006.png,6,tbc
/nfs/yban/dataset/multi_obj/videos/video_01926.mp4,toy airplane with pilot and red dish drying mat are dropping in the cliff top in white,toy airplane with pilot and red dish drying mat in the cliff top in white,24,"['toy airplane with pilot', 'red dish drying mat']","[[0.07880610227584839, 0.5484548211097717, 0.0], [0.9603704214096069, 2.2367522716522217, 0.0]]",1.1230156453539175,cliff top in white,both,01926,/nfs/yban/dataset/multi_obj/rawdata/01926/rgba_00004.png,4,tbc
/nfs/yban/dataset/multi_obj/videos/video_05984.mp4,blue bath sheet and a can of coffee are dropping in the veld in mpumalanga,blue bath sheet and a can of coffee in the veld in mpumalanga,24,"['blue bath sheet', 'a can of coffee']","[[0.4287674129009247, 1.70066499710083, 0.0], [-0.40140944719314575, 0.8652759194374084, 0.0]]",7.665266652792905,veld in mpumalanga,static,05984,/nfs/yban/dataset/multi_obj/rawdata/05984/rgba_00011.png,11,tbc
/nfs/yban/dataset/multi_obj/videos/video_03813.mp4,red dish drying mat and lightweight running shoe are dropping in the bridge in tears of steel,red dish drying mat and lightweight running shoe in the bridge in tears of steel,24,"['red dish drying mat', 'lightweight running shoe']","[[0.8960835337638855, -7.325900077819824, 0.0], [-3.2671899795532227, 3.99352765083313, 0.0]]",3.1314226889563495,bridge in tears of steel,both,03813,/nfs/yban/dataset/multi_obj/rawdata/03813/rgba_00001.png,1,tbc
/nfs/yban/dataset/multi_obj/videos/video_01842.mp4,bottle of bronzer and bottle of bronzer are dropping in the nighttime courtyard,bottle of bronzer and bottle of bronzer in the nighttime courtyard,24,"['bottle of bronzer', 'bottle of bronzer']","[[0.248890683054924, 0.9300849437713623, 0.0], [-1.680326223373413, -0.728263258934021, 0.0]]",4.661619600349547,nighttime courtyard,dynamic,01842,/nfs/yban/dataset/multi_obj/rawdata/01842/rgba_00008.png,8,tbc
/nfs/yban/dataset/multi_obj/videos/video_02635.mp4,blue bath sheet and paisley patterned pencil case are dropping in the missile launch facility,blue bath sheet and paisley patterned pencil case in the missile launch facility,24,"['blue bath sheet', 'paisley patterned pencil case']","[[-2.897963285446167, -1.7834452390670776, 0.0], [-2.636148691177368, 2.366135597229004, 0.0]]",2.878503724937696,missile launch facility,static,02635,/nfs/yban/dataset/multi_obj/rawdata/02635/rgba_00002.png,2,tbc
/nfs/yban/dataset/multi_obj/videos/video_18147.mp4,blue school backpack and red dish drying mat are dropping in the adams' place bridge,blue school backpack and red dish drying mat in the adams' place bridge,24,"['blue school backpack', 'red dish drying mat']","[[2.5761566162109375, -3.026888132095337, 0.0], [1.464555025100708, -0.37225741147994995, 0.0]]",3.46824683419596,adams' place bridge,both,18147,/nfs/yban/dataset/multi_obj/rawdata/18147/rgba_00002.png,2,tbc
/nfs/yban/dataset/multi_obj/videos/video_06823.mp4,red dish drying mat and red dish drying mat are dropping in the rathaus town hall,red dish drying mat and red dish drying mat in the rathaus town hall,24,"['red dish drying mat', 'red dish drying mat']","[[0.6343321800231934, -6.730283260345459, 0.0], [2.074716806411743, -4.27634334564209, 0.0]]",0.6811963190558146,rathaus town hall,both,06823,/nfs/yban/dataset/multi_obj/rawdata/06823/rgba_00006.png,6,tbc
/nfs/yban/dataset/multi_obj/videos/video_05654.mp4,a blue bath towel and lightweight running shoe are dropping in the motel made of wood,a blue bath towel and lightweight running shoe in the motel made of wood,24,"['a blue bath towel', 'lightweight running shoe']","[[-6.973779201507568, -0.6897495985031128, 0.0], [1.7653895616531372, 1.690840721130371, 0.0]]",6.055995449059042,motel made of wood,both,05654,/nfs/yban/dataset/multi_obj/rawdata/05654/rgba_00015.png,15,tbc
/nfs/yban/dataset/multi_obj/videos/video_02599.mp4,red handheld scissors and red handheld scissors are dropping in the meadow in the evening,red handheld scissors and red handheld scissors in the meadow in the evening,24,"['red handheld scissors', 'red handheld scissors']","[[-1.9138370752334595, 0.8676342964172363, 0.0], [-0.2375950664281845, 3.64768648147583, 0.0]]",4.1616070917303505,meadow in the evening,both,02599,/nfs/yban/dataset/multi_obj/rawdata/02599/rgba_00006.png,6,tbc
/nfs/yban/dataset/multi_obj/videos/video_07605.mp4,a blue bath towel and red dish drying mat are dropping in the factory yard scene,a blue bath towel and red dish drying mat in the factory yard scene,24,"['a blue bath towel', 'red dish drying mat']","[[6.6187520027160645, 0.39876309037208557, 0.0], [4.474730491638184, 3.4838740825653076, 0.0]]",5.8994689004975,factory yard scene,both,07605,/nfs/yban/dataset/multi_obj/rawdata/07605/rgba_00000.png,0,tbc
